Time,Eps,-Eps,Error,Actuator-Eps,Actuator,Actuator+Eps,Sensor,Sinus,Cosinus,Droite,Angle,Square
0.004,5.0,-5.0,-0.759790243272,-123.902665147,-119.500019832,-113.902665147,-119.17968396,0,1,-340,0,115600
0.017,5.0,-5.0,0.628582309316,-123.305310463,-118.305310463,-113.305310463,-119.531247457,0.0174524064,0.9998476952,-339,1,114921
0.028,5.0,-5.0,1.40171874223,-122.707955778,-117.707955778,-112.707955778,-119.707029205,0.0348994967,0.999390827,-338,2,114244
0.04,5.0,-5.0,2.65616494557,-121.453509575,-117.050864259,-112.050864259,-119.707029205,0.0523359562,0.9986295348,-337,3,113569
0.052,5.0,-5.0,3.34141050424,-120.856154891,-116.453509575,-110.856154891,-119.794920079,0.0697564737,0.9975640503,-336,4,112896
0.065,5.0,-5.0,3.93876518867,-120.258800206,-115.258800206,-110.258800206,-119.794920079,0.0871557427,0.9961946981,-335,5,112225
0.079,5.0,-5.0,4.5361198731,-119.661445522,-114.661445522,-109.661445522,-119.707029205,0.1045284633,0.9945218954,-334,6,111556
0.091,5.0,-5.0,5.29136804058,-118.466749813,-114.064097668,-109.064097668,-119.355465708,0.1218693434,0.9925461516,-333,7,110889
0.104,5.0,-5.0,5.44926152362,-117.869401959,-113.466749813,-107.869401959,-118.476556966,0.139173101,0.9902680687,-332,8,110224
0.116,5.0,-5.0,5.60715500666,-117.272054105,-112.869401959,-107.272054105,-117.94921172,0.156434465,0.9876883406,-331,9,109561
0.128,5.0,-5.0,5.67715761547,-116.674706251,-111.674706251,-106.674706251,-117.509757349,0.1736481777,0.984807753,-330,10,108900
0.14,5.0,-5.0,5.30770585307,-116.077358396,-111.077358396,-106.077358396,-116.982412104,0.1908089954,0.9816271834,-329,11,108241
0.151,5.0,-5.0,5.97508363687,-114.882662688,-110.480010542,-105.480010542,-116.455094179,0.2079116908,0.9781476007,-328,12,107584
0.164,5.0,-5.0,6.04508624568,-114.285314834,-109.882662688,-104.285314834,-115.927748933,0.2249510543,0.9743700648,-327,13,106929
0.175,5.0,-5.0,6.02719798024,-113.687966979,-109.285314834,-103.687966979,-114.697276694,0.2419218956,0.9702957263,-326,14,106276
0.188,5.0,-5.0,6.0093097148,-113.090619125,-108.090619125,-103.090619125,-114.082040574,0.2588190451,0.9659258263,-325,15,105625
0.2,5.0,-5.0,5.97353318393,-112.493271271,-107.493271271,-102.493271271,-113.466804455,0.2756373558,0.9612616959,-324,16,104976
0.211,5.0,-5.0,6.04353579273,-111.298575562,-106.895923417,-101.895923417,-112.939459209,0.2923717047,0.956304756,-323,17,104329
0.222,5.0,-5.0,5.84986577882,-110.701227708,-106.298575562,-101.298575562,-112.148441341,0.3090169944,0.9510565163,-322,18,103684
0.234,5.0,-5.0,5.83197751338,-110.044143019,-105.701227708,-100.044143019,-110.917969102,0.3255681545,0.9455185756,-321,19,103041
0.246,5.0,-5.0,5.87382608243,-109.446795165,-105.044143019,-99.4467951652,-110.214842108,0.3420201433,0.9396926208,-320,20,102400
0.257,5.0,-5.0,5.76804694275,-108.849447311,-103.849447311,-98.8494473109,-109.511715114,0.3583679495,0.9335804265,-319,21,101761
0.269,5.0,-5.0,5.5564886634,-108.252099457,-103.252099457,-98.2520994567,-108.80858812,0.3746065934,0.9271838546,-318,22,101124
0.281,5.0,-5.0,4.94125254372,-107.654751602,-102.654751602,-97.6547516024,-108.193352,0.3907311285,0.9205048535,-317,23,100489
0.294,5.0,-5.0,5.43282125829,-106.460055894,-102.057403748,-97.0574037482,-107.490225006,0.4067366431,0.9135454576,-316,24,99856
0.306,5.0,-5.0,5.32706943937,-105.86270804,-101.460055894,-95.8627080397,-106.083998339,0.4226182617,0.906307787,-315,25,99225
0.32,5.0,-5.0,5.22129029969,-105.265360185,-100.265360185,-95.2653601855,-105.556653094,0.4383711468,0.8987940463,-314,26,98596
0.334,5.0,-5.0,5.18551376882,-104.070664477,-99.6680123312,-94.6680123312,-104.8535261,0.4539904997,0.8910065242,-313,27,97969
0.345,5.0,-5.0,5.25551637762,-103.473316623,-99.070664477,-93.4733166227,-103.710944735,0.4694715628,0.8829475929,-312,28,97344
0.357,5.0,-5.0,5.23762811219,-102.875968769,-98.4733166227,-92.8759687685,-103.095708615,0.4848096202,0.8746197071,-311,29,96721
0.369,5.0,-5.0,5.21973984675,-102.278620914,-97.2786209143,-92.2786209143,-102.392581621,0.5,0.8660254038,-310,30,96100
0.381,5.0,-5.0,5.11396070707,-101.68127306,-96.68127306,-91.68127306,-101.777345502,0.5150380749,0.8571673007,-309,31,95481
0.392,5.0,-5.0,5.0781841762,-100.486577352,-96.0839252058,-91.0839252058,-101.162109382,0.5299192642,0.8480480962,-308,32,94864
0.404,5.0,-5.0,4.97240503653,-99.8892294973,-95.4865773515,-89.8892294973,-100.458982388,0.544639035,0.8386705679,-307,33,94249
0.415,5.0,-5.0,5.04240764533,-99.291881643,-94.8892294973,-89.291881643,-99.2285101487,0.5591929035,0.8290375726,-306,34,93636
0.427,5.0,-5.0,4.93662850565,-98.6945337888,-93.6945337888,-88.6945337888,-98.5253831548,0.5735764364,0.8191520443,-305,35,93025
0.439,5.0,-5.0,4.83084936598,-98.0971859346,-93.0971859346,-88.0971859346,-97.9980379093,0.5877852523,0.8090169944,-304,36,92416
0.451,5.0,-5.0,4.19775230162,-97.4998380803,-92.4998380803,-87.4998380803,-97.2949382362,0.6018150232,0.79863551,-303,37,91809
0.463,5.0,-5.0,4.83694872491,-96.2454055374,-91.8427533916,-86.2454055374,-96.6797021165,0.6156614753,0.7880107536,-302,38,91204
0.475,5.0,-5.0,4.90695133371,-95.6480576831,-91.2454055374,-85.6480576831,-95.4492298772,0.629320391,0.7771459615,-301,39,90601
0.487,5.0,-5.0,4.80117219403,-95.0507098289,-90.6480576831,-85.0507098289,-94.8339937575,0.6427876097,0.7660444431,-300,40,90000
0.5,5.0,-5.0,4.7832839286,-94.4533619746,-89.4533619746,-84.4533619746,-94.1308667636,0.656059029,0.7547095802,-299,41,89401
0.51,5.0,-5.0,4.67750478892,-93.8560141204,-88.8560141204,-83.8560141204,-93.4277397696,0.6691306064,0.7431448255,-298,42,88804
0.522,5.0,-5.0,4.04438040381,-93.2586662662,-88.2586662662,-83.2586662662,-92.9003945242,0.6819983601,0.7313537016,-297,43,88209
0.533,5.0,-5.0,4.62383999261,-92.6613184119,-87.6613184119,-82.6613184119,-92.2851584045,0.6946583705,0.7193398003,-296,44,87616
0.544,5.0,-5.0,4.51806085294,-91.4666227034,-87.0639705577,-82.0639705577,-91.5820314106,0.7071067812,0.7071067812,-295,45,87025
0.557,5.0,-5.0,4.5001725875,-90.8692748492,-86.4666227034,-80.8692748492,-90.3515591712,0.7193398003,0.6946583705,-294,46,86436
0.569,5.0,-5.0,4.48228432206,-90.2719269949,-85.2719269949,-80.2719269949,-89.6484321773,0.7313537016,0.6819983601,-293,47,85849
0.581,5.0,-5.0,4.37650518239,-89.6745791407,-84.6745791407,-79.6745791407,-89.1210869319,0.7431448255,0.6691306064,-292,48,85264
0.592,5.0,-5.0,3.74338079727,-89.0772312865,-84.0772312865,-79.0772312865,-88.417959938,0.7547095802,0.656059029,-291,49,84681
0.603,5.0,-5.0,4.32284038608,-87.882535578,-83.4798834322,-78.4798834322,-87.8027238183,0.7660444431,0.6427876097,-290,50,84100
0.615,5.0,-5.0,4.3049794414,-87.2851877237,-82.882535578,-77.2851877237,-87.1875150194,0.7771459615,0.629320391,-289,51,83521
0.627,5.0,-5.0,4.19920030172,-86.6878398695,-82.2851877237,-76.6878398695,-85.95704278,0.7880107536,0.6156614753,-288,52,82944
0.639,5.0,-5.0,4.26920291053,-86.0904920152,-81.0904920152,-76.0904920152,-85.2539157861,0.79863551,0.6018150232,-287,53,82369
0.65,5.0,-5.0,3.54818765117,-85.493144161,-80.493144161,-75.493144161,-84.6386796664,0.8090169944,0.5877852523,-286,54,81796
0.661,5.0,-5.0,4.18738407446,-84.8360594723,-79.8360594723,-74.8360594723,-84.0234435467,0.8191520443,0.5735764364,-285,55,81225
0.673,5.0,-5.0,4.16949580902,-84.238711618,-79.238711618,-74.238711618,-83.4082074271,0.8290375726,0.5591929035,-284,56,80656
0.685,5.0,-5.0,4.15160754359,-83.0440159096,-78.6413637638,-73.6413637638,-82.7929713074,0.8386705679,0.544639035,-283,57,80089
0.697,5.0,-5.0,3.95793752967,-82.4466680553,-78.0440159096,-72.4466680553,-82.0019534392,0.8480480962,0.5299192642,-282,58,79524
0.708,5.0,-5.0,3.94004926424,-81.8493202011,-76.8493202011,-71.8493202011,-80.7714811999,0.8571673007,0.5150380749,-281,59,78961
0.719,5.0,-5.0,3.9221609988,-81.2519723468,-76.8493202011,-71.2519723468,-80.1562450802,0.8660254038,0.5,-280,60,78400
0.73,5.0,-5.0,3.90427273336,-80.6546244926,-75.6546244926,-70.6546244926,-79.4531180863,0.8746197071,0.4848096202,-279,61,77841
0.741,5.0,-5.0,3.79849359369,-80.0572766384,-75.0572766384,-70.0572766384,-78.8378819666,0.8829475929,0.4694715628,-278,62,77284
0.753,5.0,-5.0,3.16536920857,-79.4599287841,-74.4599287841,-69.4599287841,-78.2226458469,0.8910065242,0.4539904997,-277,63,76729
0.765,5.0,-5.0,3.74485611813,-78.8625809299,-73.8625809299,-68.8625809299,-77.607437048,0.8987940463,0.4383711468,-276,64,76176
0.776,5.0,-5.0,3.63907697846,-77.6678852214,-73.2652330756,-68.2652330756,-76.9043100541,0.906307787,0.4226182617,-275,65,75625
0.788,5.0,-5.0,3.62118871302,-77.070530537,-72.6678852214,-67.070530537,-76.2890739344,0.9135454576,0.4067366431,-274,66,75076
0.8,5.0,-5.0,3.69119815201,-76.4731758525,-71.4731758525,-66.4731758525,-75.1464925693,0.9205048535,0.3907311285,-273,67,74529
0.81,5.0,-5.0,3.67331671677,-75.8758211681,-70.8758211681,-65.8758211681,-74.5312564496,0.9271838546,0.3746065934,-272,68,73984
0.823,5.0,-5.0,2.9523082876,-75.2784733138,-70.2784733138,-65.2784733138,-73.8281294557,0.9335804265,0.3583679495,-271,69,73441
0.834,5.0,-5.0,3.53176787641,-74.0837776054,-69.6811254596,-64.6811254596,-73.212893336,0.9396926208,0.3420201433,-270,70,72900
0.845,5.0,-5.0,3.51387961097,-73.4864297511,-69.0837776054,-64.0837776054,-72.5976572163,0.9455185756,0.3255681545,-269,71,72361
0.856,5.0,-5.0,3.49599134554,-72.8293450624,-68.4864297511,-62.8293450624,-71.2792941027,0.9510565163,0.3090169944,-268,72,71824
0.869,5.0,-5.0,3.44994904034,-72.2319972082,-67.2319972082,-62.2319972082,-70.7519488573,0.956304756,0.2923717047,-267,73,71289
0.881,5.0,-5.0,3.51995164914,-71.6346425237,-66.6346425237,-61.6346425237,-70.0488218634,0.9612616959,0.2756373558,-266,74,70756
0.892,5.0,-5.0,2.71105234574,-70.4399331549,-66.0372878393,-61.0372878393,-69.3456948695,0.9659258263,0.2588190451,-265,75,70225
0.905,5.0,-5.0,3.37841646916,-69.8425784704,-65.4399331549,-60.4399331549,-68.818349624,0.9702957263,0.2419218956,-264,76,69696
0.915,5.0,-5.0,3.18478060619,-69.2452306162,-64.8425784704,-59.2452306162,-68.0273590766,0.9743700648,0.2249510543,-263,77,69169
0.926,5.0,-5.0,3.254783215,-68.647882762,-64.2452306162,-59.2452306162,-67.5000138312,0.9781476007,0.2079116908,-262,78,68644
0.938,5.0,-5.0,3.14900407532,-68.0505280775,-63.647882762,-58.0505280775,-66.7968868373,0.9816271834,0.1908089954,-261,79,68121
0.95,5.0,-5.0,2.95534089159,-67.4531733931,-63.0505280775,-57.4531733931,-65.3027419752,0.984807753,0.1736481777,-260,80,67600
0.962,5.0,-5.0,2.84956858211,-66.8558187087,-61.8558187087,-56.8558187087,-64.6875058555,0.9876883406,0.156434465,-259,81,67081
0.973,5.0,-5.0,2.83168714686,-66.2584640242,-61.2584640242,-56.2584640242,-64.1601606101,0.9902680687,0.139173101,-258,82,66564
0.984,5.0,-5.0,2.19856959194,-65.6611093398,-60.6611093398,-55.6611093398,-63.4570336162,0.9925461516,0.1218693434,-257,83,66049
0.996,5.0,-5.0,2.77803601093,-64.4664136313,-60.0637614856,-55.0637614856,-62.8417974965,0.9945218954,0.1045284633,-256,84,65536
1.008,5.0,-5.0,2.67225687125,-63.8690657771,-59.4664136313,-53.8690657771,-62.1386705026,0.9961946981,0.0871557427,-255,85,65025
1.019,5.0,-5.0,2.65436860582,-63.2717179228,-58.8690657771,-53.2717179228,-60.9081982632,0.9975640503,0.0697564737,-254,86,64516
1.031,5.0,-5.0,2.63648034038,-62.6743632384,-57.6743632384,-52.6743632384,-60.2929621435,0.9986295348,0.0523359562,-253,87,64009
1.043,5.0,-5.0,2.60071405479,-62.0770119691,-57.0770119691,-52.0770119691,-59.6777260239,0.999390827,0.0348994967,-252,88,63504
1.054,5.0,-5.0,2.58282920445,-61.4796606997,-56.4796606997,-51.4796606997,-59.0624899042,0.9998476952,0.0174524064,-251,89,63001
1.066,5.0,-5.0,2.56494435411,-60.2849581611,-55.8823094304,-50.2849581611,-58.4472537845,1,6.12323399573677E-017,-250,90,62500
1.077,5.0,-5.0,2.45919595028,-59.6876068917,-55.2849581611,-49.6876068917,-57.7441541113,0.9998476952,-0.0174524064,-249,91,62001
1.089,5.0,-5.0,2.52920197418,-59.0902556224,-54.0902556224,-49.0902556224,-56.6015727462,0.999390827,-0.0348994967,-248,92,61504
1.102,5.0,-5.0,1.89608100416,-58.4331709337,-53.4331709337,-48.4331709337,-55.9863366265,0.9986295348,-0.0523359562,-247,93,61009
1.114,5.0,-5.0,2.53528084254,-57.238468395,-52.8358196643,-47.8358196643,-55.3711005069,0.9975640503,-0.0697564737,-246,94,60516
1.126,5.0,-5.0,2.42950511796,-57.238468395,-52.238468395,-47.238468395,-54.6679735129,0.9961946981,-0.0871557427,-245,95,60025
1.137,5.0,-5.0,2.41162026762,-56.0437658563,-51.6411171256,-46.6411171256,-54.0527373933,0.9945218954,-0.1045284633,-244,96,59536
1.149,5.0,-5.0,2.30584454304,-55.446414587,-51.0437658563,-45.446414587,-53.3496103994,0.9925461516,-0.1218693434,-243,97,59049
1.161,5.0,-5.0,2.20006881846,-54.8490633176,-50.446414587,-44.8490633176,-52.0312472858,0.9902680687,-0.139173101,-242,98,58564
1.173,5.0,-5.0,2.18218396812,-54.2517120483,-49.2517120483,-44.2517120483,-51.3281202918,0.9876883406,-0.156434465,-241,99,58081
1.185,5.0,-5.0,1.5490629981,-53.654360779,-48.654360779,-43.654360779,-50.8007750464,0.984807753,-0.1736481777,-240,100,57600
1.198,5.0,-5.0,1.95274766861,-52.4596582403,-48.0570095096,-42.4596582403,-49.3945210586,0.9816271834,-0.1908089954,-239,101,57121
1.216,5.0,-5.0,1.31964035897,-51.862306971,-46.862306971,-41.862306971,-48.7792985993,0.9781476007,-0.2079116908,-238,102,56644
1.227,5.0,-5.0,1.81121590373,-50.6676044323,-46.2649557016,-41.2649557016,-48.0761716053,0.9743700648,-0.2249510543,-237,103,56169
1.239,5.0,-5.0,1.6175493049,-50.0702531629,-45.6676044323,-40.6676044323,-47.2851537372,0.9702957263,-0.2419218956,-236,104,55696
1.25,5.0,-5.0,1.51177358032,-49.4729018936,-45.0702531629,-39.4729018936,-46.5820267433,0.9659258263,-0.2588190451,-235,105,55225
1.26,5.0,-5.0,1.40601151612,-48.8755506243,-44.4729018936,-38.8755506243,-45.0878955416,0.9612616959,-0.2756373558,-234,106,54756
1.273,5.0,-5.0,1.2123449173,-48.2781993549,-43.2781993549,-38.2781993549,-44.4726594219,0.956304756,-0.2923717047,-233,107,54289
1.285,5.0,-5.0,0.31555132456,-47.6808480856,-42.6808480856,-37.6808480856,-43.5937506795,0.9510565163,-0.3090169944,-232,108,53824
1.297,5.0,-5.0,0.807126869315,-46.4861455469,-42.0834968163,-37.0834968163,-42.8906236856,0.9455185756,-0.3255681545,-231,109,53361
1.308,5.0,-5.0,0.525569396254,-45.8887942776,-41.4861455469,-35.8887942776,-42.0117149432,0.9396926208,-0.3420201433,-230,110,52900
1.32,5.0,-5.0,0.331916457811,-45.2914430083,-40.2914430083,-35.2914430083,-40.6054746157,0.9335804265,-0.3583679495,-229,111,52441
1.333,5.0,-5.0,0.31403160747,-44.6343583195,-39.6343583195,-34.6343583195,-39.990238496,0.9271838546,-0.3746065934,-228,112,51984
1.347,5.0,-5.0,-0.435137691643,-44.0370070502,-39.0370070502,-34.0370070502,-39.1992206279,0.9205048535,-0.3907311285,-227,113,51529
1.358,5.0,-5.0,0.0564378531118,-42.8423045115,-38.4396557809,-33.4396557809,-38.496093634,0.9135454576,-0.4067366431,-226,114,51076
1.37,5.0,-5.0,0.0385530027701,-42.2449532422,-37.8423045115,-32.2449532422,-37.8808575143,0.906307787,-0.4226182617,-225,115,50625
1.382,5.0,-5.0,0.0206681524285,-41.6476019729,-37.2449532422,-31.6476019729,-36.6503852749,0.8987940463,-0.4383711468,-224,116,50176
1.392,5.0,-5.0,0.00278330208678,-41.0502507035,-36.6476019729,-31.0502507035,-36.0351628156,0.8910065242,-0.4539904997,-223,117,49729
1.404,5.0,-5.0,-0.0150878878766,-40.4528994342,-35.4528994342,-30.4528994342,-35.419926696,0.8829475929,-0.4694715628,-222,118,49284
1.415,5.0,-5.0,-0.0329727382182,-39.8555481648,-34.8555481648,-29.8555481648,-34.8925814505,0.8746197071,-0.4848096202,-221,119,48841
1.427,5.0,-5.0,-0.578202833998,-39.2581968955,-34.2581968955,-29.2581968955,-34.2773453308,0.8660254038,-0.5,-220,120,48400
1.44,5.0,-5.0,0.0891544592362,-38.0634943568,-33.6608456262,-28.0634943568,-33.7500000854,0.8571673007,-0.5150380749,-219,121,47961
1.451,5.0,-5.0,0.0712696088945,-37.4661430875,-33.0634943568,-27.4661430875,-32.6074187203,0.8480480962,-0.5299192642,-218,122,47524
1.463,5.0,-5.0,0.141275632793,-36.8687918182,-31.8687918182,-26.8687918182,-31.9921826006,0.8386705679,-0.544639035,-217,123,47089
1.474,5.0,-5.0,0.123390782451,-36.2714405488,-31.2714405488,-26.2714405488,-31.3769601413,0.8290375726,-0.5591929035,-216,124,46656
1.485,5.0,-5.0,-0.421825652951,-35.6740892795,-30.6740892795,-25.6740892795,-30.8496148959,0.8191520443,-0.5735764364,-215,125,46225
1.496,5.0,-5.0,0.129486726285,-34.4793833257,-30.0170011757,-25.0170011757,-30.146487902,0.8090169944,-0.5877852523,-214,126,45796
1.508,5.0,-5.0,0.227650205037,-33.8820320564,-29.4793833257,-23.8820320564,-29.7070335308,0.79863551,-0.6018150232,-213,127,45369
1.519,5.0,-5.0,0.209765354695,-33.284680787,-28.8820320564,-23.284680787,-28.4765612914,0.7880107536,-0.6156614753,-212,128,44944
1.531,5.0,-5.0,0.191880504353,-32.6275943908,-27.6275943908,-22.6275943908,-27.8613251717,0.7771459615,-0.629320391,-211,129,44521
1.542,5.0,-5.0,0.233730780945,-32.0302431214,-27.0302431214,-22.0302431214,-27.1581981778,0.7660444431,-0.6427876097,-210,130,44100
1.553,5.0,-5.0,0.127955056364,-31.4328918521,-26.4328918521,-21.4328918521,-26.6308665927,0.7547095802,-0.656059029,-209,131,43681
1.565,5.0,-5.0,0.19797474064,-30.8355405828,-25.8355405828,-20.8355405828,-25.9277395988,0.7431448255,-0.6691306064,-208,132,43264
1.576,5.0,-5.0,0.0921990160587,-30.2381893134,-25.2381893134,-20.2381893134,-25.2246126049,0.7313537016,-0.6819983601,-207,133,42849
1.588,5.0,-5.0,0.0564293153754,-29.6408380441,-24.6408380441,-19.6408380441,-24.6972673595,0.7193398003,-0.6946583705,-206,134,42436
1.599,5.0,-5.0,0.0385444650337,-29.0434867748,-24.0434867748,-19.0434867748,-24.0820312398,0.7071067812,-0.7071067812,-205,135,42025
1.609,5.0,-5.0,0.020659614692,-27.8487842361,-23.4461355054,-18.4461355054,-23.4667951201,0.6946583705,-0.7193398003,-204,136,41616
1.621,5.0,-5.0,0.09066563859,-27.2514329667,-22.8487842361,-17.2514329667,-22.9394498747,0.6819983601,-0.7313537016,-203,137,41209
1.632,5.0,-5.0,0.0727807882484,-26.6540816974,-22.2514329667,-16.6540816974,-21.7968821699,0.6691306064,-0.7431448255,-202,138,40804
1.643,5.0,-5.0,0.142800472525,-26.0567304281,-21.0567304281,-16.0567304281,-21.093755176,0.656059029,-0.7547095802,-201,139,40401
1.656,5.0,-5.0,0.0370247479433,-25.4593791587,-20.4593791587,-15.4593791587,-20.5664099306,0.6427876097,-0.7660444431,-200,140,40000
1.667,5.0,-5.0,-0.420314473597,-24.8620278894,-19.8620278894,-14.8620278894,-20.0390646851,0.629320391,-0.7771459615,-199,141,39601
1.677,5.0,-5.0,-0.526090198178,-24.2646766201,-19.2646766201,-14.2646766201,-19.3359376912,0.6156614753,-0.7880107536,-198,142,39204
1.689,5.0,-5.0,0.141267095056,-23.0699740814,-18.6673253507,-13.6673253507,-18.8085924458,0.6018150232,-0.79863551,-197,143,38809
1.702,5.0,-5.0,0.123382244714,-22.4726228121,-18.0699740814,-12.4726228121,-17.4902293322,0.5877852523,-0.8090169944,-196,144,38416
1.714,5.0,-5.0,0.017606520133,-21.8752715427,-16.8752715427,-11.8752715427,-16.9628977471,0.5735764364,-0.8191520443,-195,145,38025
1.725,5.0,-5.0,0.0876262044094,-21.2779202734,-16.2779202734,-11.2779202734,-16.3476616275,0.5591929035,-0.8290375726,-194,146,37636
1.736,5.0,-5.0,-0.54549476561,-20.680569004,-15.680569004,-10.680569004,-15.7324255078,0.544639035,-0.8386705679,-193,147,37249
1.747,5.0,-5.0,0.0339716533844,-20.0832177347,-15.0832177347,-10.0832177347,-15.1171893881,0.5299192642,-0.8480480962,-192,148,36864
1.758,5.0,-5.0,0.103977677282,-18.888515196,-14.4858664654,-9.48586646538,-14.5898441427,0.5150380749,-0.8571673007,-191,149,36481
1.769,5.0,-5.0,0.17398370118,-18.2314287998,-13.888515196,-8.23142879977,-14.0624988972,0.5,-0.8660254038,-190,150,36100
1.781,5.0,-5.0,0.215833977772,-17.6340775304,-13.2314287998,-7.63407753043,-12.8320266579,0.4848096202,-0.8746197071,-189,151,35721
1.794,5.0,-5.0,0.197949127431,-17.0367262611,-12.0367262611,-7.0367262611,-12.2167905382,0.4694715628,-0.8829475929,-188,152,35344
1.805,5.0,-5.0,-0.435158182211,-16.4393749918,-11.4393749918,-6.43937499176,-11.6015680789,0.4539904997,-0.8910065242,-187,153,34969
1.817,5.0,-5.0,-0.453043032552,-15.8420237224,-10.8420237224,-5.84202372242,-10.9863319592,0.4383711468,-0.8987940463,-186,154,34596
1.827,5.0,-5.0,-0.470927882894,-15.2446724531,-10.2446724531,-5.24467245309,-10.3710958395,0.4226182617,-0.906307787,-185,155,34225
1.839,5.0,-5.0,0.0206476618609,-14.6473211838,-9.64732118375,-4.64732118375,-9.66796884561,0.4067366431,-0.9135454576,-184,156,33856
1.851,5.0,-5.0,0.00276281151927,-13.4526186451,-9.04996991442,-3.45261864508,-9.05273272593,0.3907311285,-0.9205048535,-183,157,33489
1.863,5.0,-5.0,0.0727688354173,-12.8552673757,-8.45261864508,-2.85526737574,-7.91015136082,0.3746065934,-0.9271838546,-182,158,33124
1.875,5.0,-5.0,0.0548839850756,-12.2579161064,-7.25791610641,-2.25791610641,-7.38280611538,0.3583679495,-0.9335804265,-181,159,32761
1.887,5.0,-5.0,0.124890008974,-11.6605648371,-6.66056483707,-1.66056483707,-6.76758365608,0.3420201433,-0.9396926208,-180,160,32400
1.9,5.0,-5.0,0.0891339686687,-11.0632135677,-6.06321356773,-1.06321356773,-6.1523475364,0.3255681545,-0.9455185756,-179,161,32041
1.911,5.0,-5.0,0.159139992567,-9.86851102906,-5.4658622984,0.131488970939,-5.62500229096,0.3090169944,-0.9510565163,-178,162,31684
1.922,5.0,-5.0,0.229146016465,-9.27115975972,-4.86851102906,0.728840240275,-5.09765704553,0.2923717047,-0.956304756,-177,163,31329
1.934,5.0,-5.0,0.299152040363,-8.67380849039,-4.27115975972,1.32619150961,-3.95507568041,0.2756373558,-0.9612616959,-176,164,30976
1.945,5.0,-5.0,0.281267190021,-8.07645722105,-3.07645722105,1.92354277895,-3.42773043497,0.2588190451,-0.9659258263,-175,165,30625
1.956,5.0,-5.0,0.351273213919,-7.47910595172,-2.47910595172,2.52089404828,-2.81249431529,0.2419218956,-0.9702957263,-174,166,30276
1.967,5.0,-5.0,-0.281834095722,-6.88175468238,-1.88175468238,3.11824531762,-2.19727185599,0.2249510543,-0.9743700648,-173,167,29929
1.978,5.0,-5.0,0.297632323272,-6.28440341304,-1.28440341304,3.71559658696,-1.58203573632,0.2079116908,-0.9781476007,-172,168,29584
1.989,5.0,-5.0,0.36763829381,-5.02996585416,-0.687052197067,4.97003414584,-1.05469049088,0.1908089954,-0.9816271834,-171,169,29241
2.002,5.0,-5.0,0.409488517041,-4.43261458482,-0.0299658541578,5.56738541518,-0.439454371199,0.1736481777,-0.984807753,-170,170,28900
2.014,5.0,-5.0,0.391603666699,-3.83526342221,0.567385415179,6.16473657779,0.791017868158,0.156434465,-0.9876883406,-169,171,28561
2.026,5.0,-5.0,-0.241517410042,-3.23791215287,1.76208784713,6.76208784713,1.40625398784,0.139173101,-0.9902680687,-168,172,28224
2.038,5.0,-5.0,0.355833859294,-2.64056088353,2.35943911647,7.35943911647,2.02149010751,0.1218693434,-0.9925461516,-167,173,27889
2.049,5.0,-5.0,-0.277273450347,-2.0432096142,2.9567903858,7.9567903858,2.63671256681,0.1045284633,-0.9945218954,-166,174,27556
2.063,5.0,-5.0,0.214302094408,-0.848506862081,3.55414165514,9.15149313792,3.33983956073,0.0871557427,-0.9961946981,-165,175,27225
2.074,5.0,-5.0,0.196417457509,-0.251155592745,4.15149313792,9.74884440725,4.48242092585,0.0697564737,-0.9975640503,-164,176,26896
2.086,5.0,-5.0,0.266423481407,0.346195676591,5.34619567659,10.3461956766,5.09765704553,0.0523359562,-0.9986295348,-163,177,26569
