Time,Eps,-Eps,Error,Actuator-Eps,Actuator,Actuator+Eps,Sensor
0.004,5.0,-5.0,-0.759790243272,-123.902665147,-119.500019832,-113.902665147,-119.17968396
0.017,5.0,-5.0,0.628582309316,-123.305310463,-118.305310463,-113.305310463,-119.531247457
0.028,5.0,-5.0,1.40171874223,-122.707955778,-117.707955778,-112.707955778,-119.707029205
0.04,5.0,-5.0,2.65616494557,-121.453509575,-117.050864259,-112.050864259,-119.707029205
0.052,5.0,-5.0,3.34141050424,-120.856154891,-116.453509575,-110.856154891,-119.794920079
0.065,5.0,-5.0,3.93876518867,-120.258800206,-115.258800206,-110.258800206,-119.794920079
0.079,5.0,-5.0,4.5361198731,-119.661445522,-114.661445522,-109.661445522,-119.707029205
0.091,5.0,-5.0,5.29136804058,-118.466749813,-114.064097668,-109.064097668,-119.355465708
0.104,5.0,-5.0,5.44926152362,-117.869401959,-113.466749813,-107.869401959,-118.476556966
0.116,5.0,-5.0,5.60715500666,-117.272054105,-112.869401959,-107.272054105,-117.94921172
0.128,5.0,-5.0,5.67715761547,-116.674706251,-111.674706251,-106.674706251,-117.509757349
0.14,5.0,-5.0,5.30770585307,-116.077358396,-111.077358396,-106.077358396,-116.982412104
0.151,5.0,-5.0,5.97508363687,-114.882662688,-110.480010542,-105.480010542,-116.455094179
0.164,5.0,-5.0,6.04508624568,-114.285314834,-109.882662688,-104.285314834,-115.927748933
0.175,5.0,-5.0,6.02719798024,-113.687966979,-109.285314834,-103.687966979,-114.697276694
0.188,5.0,-5.0,6.0093097148,-113.090619125,-108.090619125,-103.090619125,-114.082040574
0.2,5.0,-5.0,5.97353318393,-112.493271271,-107.493271271,-102.493271271,-113.466804455
0.211,5.0,-5.0,6.04353579273,-111.298575562,-106.895923417,-101.895923417,-112.939459209
0.222,5.0,-5.0,5.84986577882,-110.701227708,-106.298575562,-101.298575562,-112.148441341
0.234,5.0,-5.0,5.83197751338,-110.044143019,-105.701227708,-100.044143019,-110.917969102
0.246,5.0,-5.0,5.87382608243,-109.446795165,-105.044143019,-99.4467951652,-110.214842108
0.257,5.0,-5.0,5.76804694275,-108.849447311,-103.849447311,-98.8494473109,-109.511715114
0.269,5.0,-5.0,5.5564886634,-108.252099457,-103.252099457,-98.2520994567,-108.80858812
0.281,5.0,-5.0,4.94125254372,-107.654751602,-102.654751602,-97.6547516024,-108.193352
0.294,5.0,-5.0,5.43282125829,-106.460055894,-102.057403748,-97.0574037482,-107.490225006
0.306,5.0,-5.0,5.32706943937,-105.86270804,-101.460055894,-95.8627080397,-106.083998339
0.32,5.0,-5.0,5.22129029969,-105.265360185,-100.265360185,-95.2653601855,-105.556653094
0.334,5.0,-5.0,5.18551376882,-104.070664477,-99.6680123312,-94.6680123312,-104.8535261
0.345,5.0,-5.0,5.25551637762,-103.473316623,-99.070664477,-93.4733166227,-103.710944735
0.357,5.0,-5.0,5.23762811219,-102.875968769,-98.4733166227,-92.8759687685,-103.095708615
